Query_Id,Query_Text,Query_Name,Total_Attempts,Successes,Failures,Success_Rate_Percent,Total_Time_Seconds,Avg_Time_Seconds,Min_Time_Seconds,Max_Time_Seconds
1,What is the chemical formula for water?,Test 1 - information,1,1,0,100.00,13.966,13.966,13.966,13.966
3,Who wrote the novel '1984'?,Test 2 - information,1,1,0,100.00,13.289,13.289,13.289,13.289
4,Calculate 200 divided by 8,Test 3 - computation,1,1,0,100.00,13.003,13.003,13.003,13.003
8,Calculate 144 / 12,Test 4 - mathematical,1,1,0,100.00,11.911,11.911,11.911,11.911
9,"Calculate the average of numbers: 5, 10, 15, 20, 25",Test 5 - data_analysis,1,1,0,100.00,12.141,12.141,12.141,12.141
10,What is the capital of Japan?,Test 6 - information,1,1,0,100.00,11.600,11.600,11.600,11.600
11,Calculate 10 * 5,Test 7 - mathematical,1,1,0,100.00,14.403,14.403,14.403,14.403
12,"Calculate the average of numbers: 100, 200, 300, 400, 500",Test 8 - data_analysis,1,1,0,100.00,11.818,11.818,11.818,11.818
13,What is 81 divided by 9?,Test 9 - mathematical,1,1,0,100.00,12.555,12.555,12.555,12.555
14,Calculate the percentage: 15 out of 60,Test 10 - data_analysis,1,1,0,100.00,11.363,11.363,11.363,11.363
15,Calculate the percentage: 45 out of 90,Test 11 - data_analysis,1,1,0,100.00,11.404,11.404,11.404,11.404
16,What is 5 to the power of 3?,Test 12 - mathematical,1,1,0,100.00,11.440,11.440,11.440,11.440
17,Who invented the telephone?,Test 13 - information,1,0,1,0.00,21.165,21.165,21.165,21.165
18,What is the capital of Australia?,Test 14 - information,1,0,1,0.00,21.149,21.149,21.149,21.149
19,What is the factorial of 7?,Test 15 - data_analysis,1,0,1,0.00,9.892,9.892,9.892,9.892
20,Who painted the Mona Lisa?,Test 16 - information,1,1,0,100.00,16.155,16.155,16.155,16.155
21,What is the smallest planet in our solar system?,Test 17 - information,1,1,0,100.00,12.351,12.351,12.351,12.351
22,What is 6 times 9?,Test 18 - computation,1,1,0,100.00,11.982,11.982,11.982,11.982
23,Find the sum of all prime numbers from 1 to 20,Test 19 - data_analysis,1,1,0,100.00,11.722,11.722,11.722,11.722
24,List the security features in DLF Camelia.,Test 20 - property,1,1,0,100.00,12.019,12.019,12.019,12.019
25,Find the parking facilities in DLF Camelia.,Test 21 - property,1,0,1,0.00,2490.979,2490.979,2490.979,2490.979
26,What are the price ranges for 3BHK apartments in DLF Camelia?,Test 22 - property,1,0,1,0.00,111.143,111.143,111.143,111.143
27,List the clubhouse facilities in DLF Camelia.,Test 23 - property,1,0,1,0.00,227.393,227.393,227.393,227.393
28,Calculate 180 divided by 9,Test 24 - computation,1,1,0,100.00,11.878,11.878,11.878,11.878
29,What is 3 to the power of 4?,Test 25 - computation,1,1,0,100.00,11.421,11.421,11.421,11.421
30,Who discovered penicillin?,Test 26 - information,1,1,0,100.00,12.437,12.437,12.437,12.437
31,Calculate 1000 minus 234,Test 27 - computation,1,1,0,100.00,13.055,13.055,13.055,13.055
