Query_Id,Query_Text,Query_Name,Total_Attempts,Successes,Failures,Success_Rate_Percent,Total_Time_Seconds,Avg_Time_Seconds
1,What is the chemical formula for water?,Test 1 - information,1,1,0,100.00,8.026,8.026
2,Who wrote the novel '1984'?,Test 2 - information,1,1,0,100.00,10.568,10.568
3,What is the capital of Japan?,Test 3 - information,1,1,0,100.00,10.763,10.763
4,What is the speed of light?,Test 4 - information,1,1,0,100.00,11.089,11.089
5,What is the capital of Australia?,Test 5 - information,1,1,0,100.00,10.359,10.359
6,Who invented the telephone?,Test 6 - information,1,1,0,100.00,12.688,12.688
7,What is the largest planet in our solar system?,Test 7 - information,1,1,0,100.00,11.532,11.532
8,What year did World War II end?,Test 8 - information,1,1,0,100.00,13.034,13.034
9,What is the smallest country in the world?,Test 9 - information,1,1,0,100.00,16.544,16.544
10,How many chambers does a human heart have?,Test 10 - information,1,1,0,100.00,17.575,17.575
11,What is the largest organ in the human body?,Test 11 - information,1,1,0,100.00,20.025,20.025
12,What gas do plants absorb from the atmosphere?,Test 12 - information,1,1,0,100.00,21.257,21.257
13,What is the national animal of India?,Test 13 - information,1,1,0,100.00,23.361,23.361
14,Who painted the Mona Lisa?,Test 14 - information,1,1,0,100.00,25.552,25.552
15,What is the capital of France?,Test 15 - information,1,1,0,100.00,28.099,28.099
16,What is the capital of Germany?,Test 16 - information,1,1,0,100.00,26.554,26.554
17,What is the capital of Italy?,Test 17 - information,1,1,0,100.00,26.784,26.784
18,What is the capital of Spain?,Test 18 - information,1,1,0,100.00,26.431,26.431
19,What is the capital of Brazil?,Test 19 - information,1,1,0,100.00,32.302,32.302
20,What is the capital of Canada?,Test 20 - information,1,1,0,100.00,28.757,28.757
21,What is the chemical formula for water?,Test 21 - information (DUPLICATE),1,1,0,100.00,26.601,26.601
22,What is the capital of Mexico?,Test 22 - information,1,1,0,100.00,26.342,26.342
23,What is the capital of Russia?,Test 23 - information,1,1,0,100.00,26.600,26.600
24,What is the capital of China?,Test 24 - information,1,1,0,100.00,28.554,28.554
25,What is the capital of India?,Test 25 - information,1,1,0,100.00,34.091,34.091
26,What is the capital of South Korea?,Test 26 - information,1,1,0,100.00,32.317,32.317
27,What is the capital of Egypt?,Test 27 - information,1,1,0,100.00,26.244,26.244
28,What is the capital of South Africa?,Test 28 - information,1,1,0,100.00,32.905,32.905
29,What is the capital of Argentina?,Test 29 - information,1,1,0,100.00,36.205,36.205
30,What is the capital of Chile?,Test 30 - information,1,1,0,100.00,41.419,41.419
31,What is the capital of New Zealand?,Test 31 - information,1,1,0,100.00,40.198,40.198
32,Calculate 144 divided by 12,Test 32 - math,1,1,0,100.00,31.988,31.988
33,Calculate 200 divided by 8,Test 33 - math,1,1,0,100.00,32.026,32.026
34,Calculate 10 * 5,Test 34 - math,1,1,0,100.00,4.622,4.622
35,What is 81 divided by 9?,Test 35 - math,1,1,0,100.00,34.022,34.022
36,What is 5 to the power of 3?,Test 36 - math,1,1,0,100.00,36.428,36.428
37,Find the factorial of 5,Test 37 - math,1,1,0,100.00,48.176,48.176
38,Calculate 25 multiplied by 4,Test 38 - math,1,1,0,100.00,39.118,39.118
39,Calculate 100 divided by 4,Test 39 - math,1,1,0,100.00,38.899,38.899
40,Calculate 15 * 6,Test 40 - math,1,1,0,100.00,4.470,4.470
41,Calculate 72 divided by 8,Test 41 - math,1,1,0,100.00,38.911,38.911
42,Calculate 144 divided by 12,Test 42 - math (DUPLICATE),1,1,0,100.00,38.654,38.654
43,What is 3 to the power of 4?,Test 43 - math,1,1,0,100.00,38.908,38.908
44,Find the factorial of 6,Test 44 - math,1,1,0,100.00,39.185,39.185
45,Calculate 50 * 2,Test 45 - math,1,1,0,100.00,4.857,4.857
46,Calculate 120 divided by 10,Test 46 - math,1,1,0,100.00,38.919,38.919
47,Calculate 7 * 8,Test 47 - math,1,1,0,100.00,5.023,5.023
48,Calculate 64 divided by 8,Test 48 - math,1,1,0,100.00,38.992,38.992
49,What is 2 to the power of 8?,Test 49 - math,1,1,0,100.00,39.383,39.383
50,Find the factorial of 4,Test 50 - math,1,1,0,100.00,39.448,39.448
51,Calculate 30 * 3,Test 51 - math,1,1,0,100.00,4.557,4.557
52,Calculate 90 divided by 9,Test 52 - math,1,1,0,100.00,42.269,42.269
53,Calculate 12 * 7,Test 53 - math,1,1,0,100.00,4.348,4.348
54,Calculate 56 divided by 7,Test 54 - math,1,1,0,100.00,39.057,39.057
55,What is 4 to the power of 3?,Test 55 - math,1,1,0,100.00,38.822,38.822
56,Find the factorial of 7,Test 56 - math,1,1,0,100.00,42.468,42.468
57,Calculate 40 * 2,Test 57 - math,1,1,0,100.00,4.980,4.980
58,Calculate 108 divided by 9,Test 58 - math,1,1,0,100.00,43.304,43.304
59,Calculate 9 * 9,Test 59 - math,1,1,0,100.00,4.976,4.976
60,Calculate 84 divided by 7,Test 60 - math,1,1,0,100.00,38.779,38.779
61,What is 6 to the power of 2?,Test 61 - math,1,1,0,100.00,40.204,40.204
62,Find the factorial of 8,Test 62 - math,1,1,0,100.00,47.159,47.159
63,"Calculate the average of numbers: 5, 10, 15, 20, 25",Test 63 - data_analysis (DUPLICATE),1,1,0,100.00,53.315,53.315
64,"Calculate the average of numbers: 5, 10, 15, 20, 25",Test 64 - data_analysis,1,1,0,100.00,53.325,53.325
65,"Calculate the average of numbers: 10, 20, 30, 40, 50",Test 65 - data_analysis,1,1,0,100.00,62.294,62.294
66,"Calculate the average of numbers: 100, 200, 300, 400, 500",Test 66 - data_analysis,1,1,0,100.00,45.645,45.645
67,"Calculate the average of numbers: 15, 25, 35, 45, 55",Test 67 - data_analysis,1,1,0,100.00,69.302,69.302
68,"Calculate the average of numbers: 20, 40, 60, 80, 100",Test 68 - data_analysis,1,1,0,100.00,49.326,49.326
69,"Calculate the average of numbers: 12, 24, 36, 48, 60",Test 69 - data_analysis,1,1,0,100.00,57.358,57.358
70,"Calculate the average of numbers: 7, 14, 21, 28, 35",Test 70 - data_analysis,1,1,0,100.00,59.980,59.980
71,"Calculate the average of numbers: 50, 100, 150, 200, 250",Test 71 - data_analysis,1,1,0,100.00,69.278,69.278
72,"Calculate the average of numbers: 8, 16, 24, 32, 40",Test 72 - data_analysis,1,1,0,100.00,64.739,64.739
73,"Calculate the average of numbers: 11, 22, 33, 44, 55",Test 73 - data_analysis,1,1,0,100.00,47.386,47.386
74,"Calculate the average of numbers: 6, 12, 18, 24, 30",Test 74 - data_analysis,1,1,0,100.00,47.357,47.357
75,"Calculate the average of numbers: 9, 18, 27, 36, 45",Test 75 - data_analysis,1,1,0,100.00,61.877,61.877
76,"Calculate the average of numbers: 13, 26, 39, 52, 65",Test 76 - data_analysis,1,1,0,100.00,55.809,55.809
77,"Calculate the average of numbers: 14, 28, 42, 56, 70",Test 77 - data_analysis,1,1,0,100.00,58.905,58.905
78,"Calculate the average of numbers: 16, 32, 48, 64, 80",Test 78 - data_analysis,1,1,0,100.00,54.243,54.243
